brawler,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,introduced,star_power_1,star_power_1,gadget_1,gadget_2,hypercharge,buffies
Mortis,B,F,F,F,B,B,B,C,A,B,B,C,C,B,C,C,C,F,F,C,C,B,B,A,A,B,B,B,C,D,D,F,F,F,B,B,B,C,C,D,S,B,B,B,B,B,C,C,S,A,,,,,,,
Crow,S,A,S,S,A,B,A,B,B,F,A,B,B,C,F,C,C,B,C,F,F,F,B,B,A,S,S,A,A,A,S,S,S,S,S,B,A,B,C,A,B,B,B,B,B,B,A,A,A,S,,,,,,,
Spike,A,B,B,S,S,S,S,S,S,S,A,B,B,A,A,A,A,A,A,B,S,A,B,S,S,S,A,A,A,A,A,A,B,B,A,S,A,S,B,B,B,B,B,B,B,B,C,C,S,S,,,,,,,
Piper,F,F,B,A,B,C,B,C,F,F,F,C,B,C,B,B,B,C,C,C,F,A,A,S,A,A,A,A,B,A,A,B,B,B,S,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,,,,,,,
Pam,F,F,C,C,F,B,B,S,S,S,S,A,A,C,F,F,C,A,S,S,S,A,B,B,A,A,A,B,B,B,B,B,B,B,B,S,A,B,B,B,B,B,B,F,A,B,F,A,A,B,,,,,,,
Tara,B,A,A,A,A,A,A,A,C,C,F,F,F,F,F,C,F,F,B,A,A,B,C,B,A,A,B,B,C,B,C,C,C,A,A,B,B,C,C,C,B,B,B,B,B,B,A,B,A,B,,,,,,,
Darryl,S,A,B,C,F,F,F,A,S,S,B,B,B,B,A,S,S,S,A,B,B,B,C,C,S,A,A,B,B,C,B,B,B,C,B,C,D,C,C,F,S,S,A,A,B,B,B,C,C,C,,,,,,,
Penny,,,,B,C,B,A,C,F,C,C,C,A,B,B,A,A,A,A,B,A,C,C,C,F,F,F,A,A,A,A,S,S,B,C,D,D,C,D,F,B,A,A,A,B,C,C,B,B,C,,,,,,,
Frank,,,,F,C,S,B,F,F,F,C,C,C,F,F,C,C,B,B,B,A,C,C,F,A,B,B,B,B,C,D,D,F,F,F,F,F,F,F,S,A,A,A,A,A,B,B,C,S,A,,,,,,,
Leon,,,,,,,,S,S,A,S,A,A,B,F,F,F,C,F,F,F,F,F,S,A,S,A,A,B,B,B,B,B,B,B,B,A,S,B,C,B,C,C,B,B,C,C,C,C,S,,,,,,,
Gene,,,,,,,,,,B,S,S,S,S,S,A,A,S,S,A,A,C,B,A,B,B,A,A,A,A,S,S,A,A,A,A,B,A,S,A,A,A,A,A,A,A,A,A,A,A,,,,,,,
Carl,,,,,,,,,,,S,S,S,A,A,S,S,A,A,S,S,B,C,C,C,B,C,S,S,A,A,A,A,A,A,B,C,D,B,C,B,B,B,B,S,B,B,B,B,B,,,,,,,
Rosa,,,,,,,,,,,,S,A,B,A,S,A,A,A,B,A,C,B,C,S,A,B,B,C,C,B,C,C,C,B,S,A,B,B,B,C,C,C,B,F,D,D,F,F,D,,,,,,,
Bibi,,,,,,,,,,,,B,S,S,S,S,C,B,A,B,C,C,B,B,B,C,B,B,B,C,C,C,C,D,D,D,F,A,B,B,C,C,D,C,D,D,C,B,B,S,,,,,,,
Tick,,,,,,,,,,,,,,F,A,A,B,B,B,C,F,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,A,B,B,B,B,B,B,D,B,B,,,,,,,
8-Bit,,,,,,,,,,,,,,,S,A,B,B,B,C,B,A,A,B,C,B,A,C,C,C,B,B,C,C,B,A,B,B,B,B,B,B,A,A,B,B,C,D,C,B,,,,,,,
Sandy,,,,,,,,,,,,,,,S,S,S,A,S,A,A,A,S,S,A,A,A,B,B,B,C,B,B,B,A,A,A,A,S,S,A,B,B,B,B,C,B,B,B,B,,,,,,,
Emz,,,,,,,,,,,,,,,,A,B,S,S,C,C,C,C,B,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,D,C,D,S,S,,,,,,,
Bea,,,,,,,,,,,,,,,,,S,A,A,B,C,A,C,C,B,B,B,B,S,S,S,S,A,A,A,A,B,B,C,B,C,B,C,A,A,A,B,B,B,B,,,,,,,
Max,,,,,,,,,,,,,,,,,A,S,A,S,S,A,S,A,B,B,A,A,S,S,A,S,S,B,B,B,B,B,S,A,A,A,A,A,A,B,B,A,A,B,,,,,,,
Mr. P,,,,,,,,,,,,,,,,,S,S,S,S,A,A,B,B,F,B,A,B,D,F,D,D,D,A,A,B,B,C,B,D,D,D,F,S,A,B,B,C,D,F,,,,,,,
Jacky,,,,,,,,,,,,,,,,,,S,S,A,A,B,C,F,C,F,F,F,D,F,F,C,D,D,D,A,A,B,B,B,C,C,B,C,B,B,C,D,C,F,,,,,,,
Gale,,,,,,,,,,,,,,,,,,,B,S,A,F,F,F,B,A,A,A,A,A,B,D,D,C,F,B,B,B,B,A,S,A,A,C,C,C,C,B,C,B,,,,,,,
Sprout,,,,,,,,,,,,,,,,,,,S,B,A,B,S,A,A,B,A,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,B,A,C,C,C,C,C,B,,,,,,,
Nani,,,,,,,,,,,,,,,,,,,,B,B,A,B,A,B,B,B,C,C,C,C,C,B,C,S,S,A,A,A,B,B,B,B,C,C,D,D,B,B,B,,,,,,,
Surge,,,,,,,,,,,,,,,,,,,,S,B,A,B,B,B,B,A,A,A,A,A,A,A,B,C,B,D,D,C,B,S,S,S,A,C,C,C,C,C,C,,,,,,,
Amber,,,,,,,,,,,,,,,,,,,,,B,F,A,A,B,B,B,B,A,A,B,B,A,B,B,B,A,S,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,
Colette,,,,,,,,,,,,,,,,,,,,,S,A,A,C,C,B,B,B,A,A,A,A,B,A,B,S,S,A,A,A,B,B,B,A,B,B,C,D,C,D,,,,,,,
Lou,,,,,,,,,,,,,,,,,,,,,A,A,B,C,F,F,B,B,C,B,B,B,B,B,B,S,S,B,C,B,B,B,A,A,A,A,A,B,B,B,,,,,,,
Byron,,,,,,,,,,,,,,,,,,,,,,S,A,A,A,S,S,A,C,D,F,C,C,D,A,A,B,B,S,A,A,A,A,B,B,B,S,A,A,A,,,,,,,
Edgar,,,,,,,,,,,,,,,,,,,,,,A,C,B,F,F,F,F,F,F,F,F,F,F,F,F,A,B,C,C,C,D,D,D,D,F,F,D,F,F,,,,,,,
Belle,,,,,,,,,,,,,,,,,,,,,,,S,S,A,A,A,A,A,A,A,A,A,A,A,A,A,A,S,A,B,B,B,B,B,B,B,B,B,B,,,,,,,
Ruffs,,,,,,,,,,,,,,,,,,,,,,,A,A,B,A,S,A,A,A,A,A,A,A,A,A,B,B,A,B,B,A,B,B,C,C,A,A,A,B,,,,,,,
Stu,,,,,,,,,,,,,,,,,,,,,,,S,S,A,S,A,A,A,A,A,S,A,A,B,A,A,B,A,B,B,S,S,S,A,B,B,B,B,B,,,,,,,
Ash,,,,,,,,,,,,,,,,,,,,,,,,C,C,S,S,B,B,B,B,A,S,A,B,C,C,C,B,C,D,A,S,A,A,A,B,A,B,B,,,,,,,
Buzz,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,B,B,C,B,A,B,B,C,C,D,A,B,A,B,C,C,B,B,B,C,C,D,C,,,,,,,
Griff,,,,,,,,,,,,,,,,,,,,,,,,B,B,B,B,B,S,S,A,A,B,B,B,B,C,A,B,B,B,B,B,A,C,B,B,B,C,B,,,,,,,
Squeak,,,,,,,,,,,,,,,,,,,,,,,,A,C,B,S,S,A,B,A,A,A,S,S,A,B,B,C,D,B,B,B,B,A,B,A,B,A,B,,,,,,,
Fang,,,,,,,,,,,,,,,,,,,,,,,,,B,S,B,B,A,B,B,B,B,B,S,A,S,A,C,B,B,C,C,C,D,C,B,B,C,C,,,,,,,
Grom,,,,,,,,,,,,,,,,,,,,,,,,,S,B,C,A,C,C,A,S,B,B,B,B,B,B,C,D,D,D,D,C,C,D,C,D,D,D,,,,,,,
Lola,,,,,,,,,,,,,,,,,,,,,,,,,A,A,S,S,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,C,B,C,C,C,,,,,,,
Meg,,,,,,,,,,,,,,,,,,,,,,,,,S,A,B,B,B,C,A,B,S,B,C,B,B,B,A,S,S,B,B,D,A,A,B,C,C,C,,,,,,,
Eve,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,A,C,B,A,A,A,A,B,A,B,B,B,B,C,C,A,B,C,C,B,C,C,D,,,,,,,
Bonnie,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,A,B,A,A,A,B,B,D,B,D,D,F,D,F,A,A,A,C,D,C,,,,,,,
Janet,,,,,,,,,,,,,,,,,,,,,,,,,,,B,S,S,S,A,S,S,A,D,D,B,D,D,F,D,D,A,S,A,B,A,B,B,B,,,,,,,
Otis,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,D,S,S,S,A,A,B,B,B,B,B,B,B,A,B,B,B,C,A,S,A,A,,,,,,,
Sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,B,B,A,B,A,A,C,C,C,B,B,B,C,B,C,D,D,D,D,D,D,,,,,,,
Gus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,S,S,A,S,B,C,C,B,C,D,A,S,S,A,B,S,A,A,A,B,,,,,,,
Buster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,C,C,D,A,A,B,B,A,A,A,A,B,B,A,A,A,A,B,B,,,,,,,
Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,C,B,C,D,C,C,D,C,A,S,B,C,C,S,A,B,C,B,B,,,,,,,
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,,,,,,,
Mandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,B,C,A,B,B,C,D,B,A,B,B,A,B,C,C,C,C,B,,,,,,,
R-T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,C,C,B,,,,,,,
Willow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,B,A,A,B,C,C,B,C,B,B,C,B,B,A,B,B,B,,,,,,,
Maisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,B,A,S,B,D,C,C,B,A,A,B,C,B,C,C,C,,,,,,,
Hank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,D,D,F,F,F,D,F,F,F,S,S,S,B,B,A,C,,,,,,,
Cordelius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,B,A,S,S,A,A,A,B,B,B,B,B,S,S,A,A,,,,,,,
Doug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,F,F,B,F,F,F,F,F,F,F,A,B,C,C,C,,,,,,,
Chuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,B,C,B,B,C,C,C,C,D,C,D,D,F,D,,,,,,,
Pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,B,C,A,B,C,B,B,B,B,B,B,D,C,C,C,,,,,,,
Charlie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,S,S,A,C,B,C,D,B,A,A,B,B,B,,,,,,,
Larry & Lawrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,B,A,A,A,A,A,B,B,B,A,A,B,,,,,,,
Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,F,A,S,A,B,B,A,A,B,S,B,B,C,,,,,,,
Mico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,C,C,C,C,D,C,C,C,D,C,F,D,,,,,,,
Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,A,A,A,A,A,A,A,A,A,A,A,,,,,,,
Melodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,A,B,B,A,A,A,A,B,A,B,B,,,,,,,
Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,S,A,B,B,C,C,A,A,A,A,A,,,,,,,
Draco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,C,C,B,B,C,S,A,B,B,C,,,,,,,
Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,B,B,A,S,A,B,B,B,B,B,,,,,,,
Clancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,C,F,D,C,F,F,D,,,,,,,
Moe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,C,D,B,C,B,A,A,A,,,,,,,
Kenji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,S,A,A,S,A,A,B,B,A,,,,,,,
Juju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,A,A,A,B,S,A,A,,,,,,,
Shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,C,B,S,A,A,A,A,,,,,,,
Meeple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,A,B,C,S,S,A,,,,,,,
Ollie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,A,B,S,B,B,B,,,,,,,
Finx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,A,S,S,A,A,,,,,,,
Lumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,S,A,B,B,C,,,,,,,
Kaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,A,A,A,,,,,,,
Jae-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,B,C,,,,,,,
Alli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,C,B,B,B,,,,,,,
Trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,B,B,B,,,,,,,
Mina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,,,,,,
Ziggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,F,B,B,,,,,,,
Gigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,D,,,,,,,
Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,,,,,,,
Glowbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,S,,,,,,,
Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,
Najia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,
